Commit: a21dd40527d1576c8fa0029ca2996961af12bb9a, AN: Timothy Bish, AD: 2017-09-25, CN: Timothy Bish, CD: 2017-09-25, AMQ-6823-Ensure-that-MessagePull-is-works-across-HTTP-transport
Commit: 6e33507bf2fc2acea9f61e230cf8e2a9cbccc3ce, AN: Christopher L. Shannon (cshannon), AD: 2017-09-21, CN: Christopher L. Shannon (cshannon), CD: 2017-09-21, AMQ-6820-Properly-handle-ClosedChannelException
Commit: 61d3231d3647fc136b12fd88a9165b783e36585b, AN: Timothy Bish, AD: 2017-09-20, CN: Timothy Bish, CD: 2017-09-20, AMQ-6809-Fix-issue-where-stream-message-getBytes-returned-wrong-value
Commit: 8c3ef6cadb46d9694c68aa649a7952eb1612279f, AN: gtully, AD: 2017-09-19, CN: gtully, CD: 2017-09-19, AMQ-6815-have-checkpoint-validate-status-of-async-writes-to-avoid-stale-metadata-and-validate-location-size-on-read-to-avoid-potential-oom-on-restart
Commit: f82eccd2f504b59c2e98ba8273e28f4d7a2a8698, AN: Robbie Gemmell, AD: 2017-09-15, CN: Robbie Gemmell, CD: 2017-09-15, AMQ-6813-update-tick-deadline-handling-to-account-for-potential-to-be-negative-due-to-using-nanoTime-derived-values-plus-other-edge-case-protections
Commit: 6b27708ae15818d025e9f65a1bf8d54a31e01045, AN: Christopher L. Shannon (cshannon), AD: 2017-09-15, CN: Christopher L. Shannon (cshannon), CD: 2017-09-15, AMQ-6811-moving-ActiveMQMessageIsMarshalled-test-to-src-test-java
Commit: f82993d9c2315d7ea6c35d164f7665987cdbe1b8, AN: Christopher L. Shannon (cshannon), AD: 2017-09-15, CN: Christopher L. Shannon (cshannon), CD: 2017-09-15, AMQ-6811-fix-reduceMemoryFootprint-when-no-message-body
Commit: 2e492569db2345cf3be8532630f93219159a8b15, AN: Robbie Gemmell, AD: 2017-09-01, CN: Robbie Gemmell, CD: 2017-09-01, AMQ-6801-ensure-transport-listener-is-set-before-tripping-latch-to-indicate-startup-is-occuring
Commit: 5e656d394ce73d6f7d9e72f46348ed7dc9b6240c, AN: Dejan Bosanac, AD: 2017-09-01, CN: Dejan Bosanac, CD: 2017-09-01, https-issues.apache.org-jira-browse-AMQ-6799-stop-the-jmx-server-connector-properly
Commit: 35bd3ad938f5c378b17a34980d2f3480bf3bbfc3, AN: Christopher L. Shannon (cshannon), AD: 2017-08-24, CN: Christopher L. Shannon (cshannon), CD: 2017-08-24, AMQ-6798-Clean-up-store-usage-object-on-Queue-stop
Commit: c7291f1ecfefec7aad6fcf168e298e2ef0af8ed7, AN: Dejan Bosanac, AD: 2017-08-24, CN: Dejan Bosanac, CD: 2017-08-24, https-issues.apache.org-jira-browse-AMQ-6799-IOExceptionHandler-during-the-startup
Commit: 4c986d102cd5c862d88fd84eec1889b9786e9970, AN: Timothy Bish, AD: 2017-08-23, CN: Timothy Bish, CD: 2017-08-23, AMQ-6796-Avoid-double-Ack-on-commit-in-STOMP-individual-ack-mode
Commit: 63f0b7e20d56837b4f159e83594a4e4fb906cd4a, AN: gtully, AD: 2017-08-11, CN: gtully, CD: 2017-08-11, AMQ-6792-fire-the-failover-exception-handler-before-stop-to-ensure-blocked-write-does-not-block-stop-request
Commit: 8646bb1010d2632f5d405fe1761c2b9c99a0a139, AN: Christian Schneider, AD: 2017-08-08, CN: Christian Schneider, CD: 2017-08-08, AMQ-6788-Explain-how-to-fix-the-problem-in-the-exception
Commit: a67c75a9e15c9957aedc0bc8c4aa89952a4c5ea0, AN: gtully, AD: 2017-08-08, CN: gtully, CD: 2017-08-08, AMQ-6643-refine-fix-to-allow-wildcard-subs-to-non-wildcard-subscription-queues-enable-simple-wildcard-sub-to-drain-all-subscription-queues
Commit: a15626193c8d3c099b0bcf1e605b892b533a4d3e, AN: gtully, AD: 2017-08-04, CN: gtully, CD: 2017-08-04, AMQ-6787-release-securty-context-on-failure-to-addConnection-subsequent-to-auth-resolve-leak.-fix-and-test
