Commit: ab2711abb10ebda3950a8b005780f6b01c189780, AN: Hadrian Zbarcea, AD: 2017-12-20, CN: Hadrian Zbarcea, CD: 2017-12-20, This-closes-267
Commit: 051e2b791c88e09a0f7cdecfb53eb2fd52c1d39c, AN: Sami Nurminen, AD: 2017-12-20, CN: Sami Nurminen, CD: 2017-12-20, AMQ-6327-getNextScheduledTime-returns-incorrect-time-when-working-with-day-of-month
Commit: 22f8f88ddbe050fc991ef816152e1169af29c834, AN: gtully, AD: 2017-12-19, CN: gtully, CD: 2017-12-19, NO-JIRA-harden-test-occasional-failure
Commit: 52480a4af860d9493896b8c3e2597cd81f11310e, AN: Hadrian Zbarcea, AD: 2017-12-18, CN: Hadrian Zbarcea, CD: 2017-12-18, This-closes-228.-Thanks-catull-and-lichtin-for-patch
Commit: b40e5f93bdfdecad84f880edce23c4ae8af9a76d, AN: Carlo Dapor, AD: 2017-03-04, CN: Hadrian Zbarcea, CD: 2017-12-18, AMQ-6601-AMQ-with-master-and-slave-broker-shutting-down-slave-causes-dead-lock
Commit: 04eedc3bc41ecbed8237f4be422446c5f4d54146, AN: Hadrian Zbarcea, AD: 2017-12-18, CN: Hadrian Zbarcea, CD: 2017-12-18, This-closes-226.-Thanks-ecki-for-PR
Commit: 26eab53723b11b82d3e6439950777b51182b6203, AN: Bernd, AD: 2017-02-16, CN: Hadrian Zbarcea, CD: 2017-12-18, Javadoc-typo-fix-and-cleanup
Commit: 69eba7cf379c3a7d3ec95ed4f5f6e917b547e5ff, AN: Hadrian Zbarcea, AD: 2017-12-18, CN: Hadrian Zbarcea, CD: 2017-12-18, no-jira-Fix-invalid-xml-for-broker-config
Commit: 56baba96c657d4e44b88955a964d6c92ff39b822, AN: Christopher L. Shannon (cshannon), AD: 2017-12-14, CN: Christopher L. Shannon (cshannon), CD: 2017-12-14, AMQ-6875-Use-the-correct-destination-for-Virtual-destination-consumers
Commit: d3e439378405afb699fcbfc63d9342fbb6ad77ce, AN: Timothy Bish, AD: 2017-12-14, CN: Timothy Bish, CD: 2017-12-14, AMQ-6874-Update-Qpid-JMS-to-0.28.0-and-proton-j-to-0.24.0
Commit: dd6dcc188c80888e2fac37646189ae3b407c1043, AN: gtully, AD: 2017-12-14, CN: gtully, CD: 2017-12-14, fix-regression-ensure-connector-created-for-remote-jmx-assertion
Commit: 36a2871301e9e75c198294d31756b49a22a21fc8, AN: Timothy Bish, AD: 2017-12-08, CN: Timothy Bish, CD: 2017-12-08, AMQ-6872-Use-correct-type-casts-on-ApplicationProperties-Map
Commit: e7bce023de48591475781ba024104f8010a696fc, AN: Timothy Bish, AD: 2017-12-07, CN: Timothy Bish, CD: 2017-12-07, AMQ-6872-Use-correct-type-casts-on-ApplicationProperties-Map
Commit: 5fa0bbd5156f29d97dcf48fd9fdb6a0488a8df1a, AN: Christopher L. Shannon (cshannon), AD: 2017-11-29, CN: Christopher L. Shannon (cshannon), CD: 2017-12-06, AMQ-6871-By-default-only-send-generic-platform-details
Commit: 9d98ee253fbe3e2134e7242abd572c6e64a6f6b2, AN: gtully, AD: 2017-11-24, CN: gtully, CD: 2017-11-24, sync-code-default-with-config-default-to-use-jvm-mbean-server
Commit: 151e17abfed83e16734d9775e6862b1d1241282a, AN: gtully, AD: 2017-11-21, CN: gtully, CD: 2017-11-21, AMQ-6854-periodic-log-warn-on-store-limits-reached-in-the-same-way
Commit: 08aa5118ffcd8dfc4ec813d799a61ef1ee4421d1, AN: Christopher L. Shannon (cshannon), AD: 2017-11-16, CN: Christopher L. Shannon (cshannon), CD: 2017-11-16, AMQ-6858-add-extra-precautionary-check-for-demand-subs
Commit: 2e3a7f6114fae1ffb9c19ee4af2f4541fdfc238e, AN: Christopher L. Shannon (cshannon), AD: 2017-11-15, CN: Christopher L. Shannon (cshannon), CD: 2017-11-15, AMQ-6858-test-fix
Commit: 6013441a9a7c4a13f7412d6d72638de0f420e6a3, AN: Christopher L. Shannon (cshannon), AD: 2017-11-15, CN: Christopher L. Shannon (cshannon), CD: 2017-11-15, AMQ-6858-handle-resync-of-network-proxy-durables-after-restart
